date	role	run_id	agent	public_account	enc_key	what	artifacts	how_verified
2026-09-04	storage	33923468614	A	HUcqf4vbLRroDPBkjr39mDemDxPp2dkcToY6mMmiHfjY	04a8cce4a188e2756db645c56be75ef9fb3a95f0081d688c55925f7ba6d2ea11da0970e5d2e003739f75fb5da16be7e64a608f85abf566	created its identity and funded itself from the faucet (150 LEZ, nonce 1), uploaded an encrypted file (storage.upload, label shared-doc), listed it, shared the file key with B (storage.share, sealed to B's encryption key, over the local Waku relay)	cid zDvZRwzm58ZGz1Ut8tWRSUhdhX4LxQ7ZZckXSMD2fkgWCWqt2WKH; storage node peer 16Uiu2HAmBQQmzwJSrKyyvM9Uz1wfZhAhjsbmtMgxkUQd1DFqMdbm; artifact testnet-agent-storage (agent-a-daemon.log, agent-a-storage.log)	getAccount(HUcq…): balance 150, nonce 1, registered; job log "STORAGE AGENT PASSED in 23m" (GitHub Actions, workflow Testnet agents, run 33923468614)
2026-09-04	storage	33923468614	B	8cbqYZvGdDdnrpTTDDARSUCetPKkhTmY3K7X9zSv4TFr	044fa2dab66a681be50272cc2a5bfb5ad5cf16ffef7f16c07f49dd06e5d3e86bac2c2fea70ef5a196fbf551c3c0da65a17be54309ebc4dcff37e1d760678e84b3c	created its identity and funded itself (150 LEZ, nonce 1); received A's shared key through the pull path (messagingInbox kind file_share; storage.list shows the CID "shared by A"); dialed A's storage node (storage.connect); fetched the CID over the storage network and decrypted it (storage.download): 63 bytes, byte-identical to A's original (cmp)	same cid; artifact testnet-agent-storage (agent-b-daemon.log, agent-b-storage.log, shared-original.txt, shared-downloaded-by-b.txt)	getAccount(8cbq…): balance 150, nonce 1, registered; job log EVIDENCE line "step=download agent=B … identical=yes bytes=63"
2026-09-05	messaging	33931107418	A	8SSjuMEpEcoQLGXLDcWJVoTyH6etunKJAHHb81yuWNP	04c654834035939a3a984d96913fb3d4213e2bb49ee310d0a5135deac71c27e80cddfe4ca3f7163bb0e178afcdfc500bfbdd45532536ba2f091e7947503071ec66	created its identity and funded itself (150 LEZ, nonce 1); sent B a direct message sealed to B's encryption key (messaging.send); created group 533f14d20975b693 with a fresh AES-256-GCM group key and sent B a sealed invite carrying it (messaging.create_group); sent one group message; received B's group reply (messagingInbox kind group)	group topic /pilot/1/group-533f14d20975b693/proto; artifact testnet-agent-messaging (run.log with the EVIDENCE lines, agent-a-daemon.log, agent-a-inbox.json)	getAccount(8SSj…): balance 150, nonce 1, registered; run.log "MESSAGING AGENT PASSED in 37m"; agent-a-inbox.json holds "group reply from B (00:33:16)"
2026-09-05	messaging	33931107418	B	GwqZH9vH1rKXM9sBT7pWsbnA7SNCMR2Nc34JyD7ySw2P	048eb58716f542ce1021b722611ef60611938bc3ebe425c7413ce19a6e099520aa7a3b5de7d68933bc64bad74fa65c3821f513debd3860c7aeef5573670a12a06b	created its identity and funded itself (150 LEZ, nonce 1); received A's direct message "hello B, this is A (00:33:01)" and the group invite through the pull path (agentPoll → messagingInbox); joined the group (messaging.join); received A's group message "group hello from A (00:33:13)"; replied in the group	same topic; artifact testnet-agent-messaging (agent-b-daemon.log, agent-b-inbox.json: kinds direct, group_invite, group)	getAccount(Gwqz…): balance 150, nonce 1, registered; agent-b-inbox.json holds all three received items with A's key as sender
2026-09-05	storage	33933531544	A	3bh6MipoKgEyEkHEH9tLTgpgd7mUnhoqDCQcFiDSW2YH	0438c94a1f415f329c06271aa5bf85f5edf9be20ea526be42142f89aedd9a639affc3a8ec80b53c68e98f845bad0152a1834304f63812e	acceptance run (all three roles green in one run): funded itself; uploaded + listed an encrypted file; shared its key with B	cid zDvZRwzky2ECPBtEkZZ3MiraKp2CKfEWjzACsNs6xhkyvuv8xDLx; storage node peer 16Uiu2HAmDBc7AFNgRaVcGFbmRHJg4HWJYVsi9jnGKm9fHfLVMtmP; artifact testnet-agent-storage	getAccount(3bh6…): balance 150, nonce 1, registered; run.log "STORAGE AGENT PASSED in 38m"
2026-09-05	storage	33933531544	B	GFGmWwZg86yPPUt1dzV97yrkgFDGpQur7e2Lwcnn6iuZ	0485b93820e638d98a37a41adb34d6aa222b57f0d31a38876ef875d2f1bc07221d26149f1b1443e4269c89f831edd3ab3d057fc6ede920	acceptance run: funded itself; received A's key; dialed A's node; fetched the CID over the storage network and decrypted it byte-identical (63 bytes)	same cid and peer; artifact testnet-agent-storage (shared-original.txt vs shared-downloaded-by-b.txt)	getAccount(GFGm…): balance 150, nonce 1, registered; EVIDENCE "step=download agent=B … identical=yes bytes=63"
2026-09-05	messaging	33933531544	A	8QZDqvtyt3S97x6r5fKjZZUUsbuus2DFiRKpLmtdKFoL	04c29240bc617121bb0e57eea90b1f83841d65a6636b5992c17fecfdf1f174c64558837cd042a43741814382c8a45deaa40ba850d3fa	acceptance run: funded itself; direct message to B; created group ba300f2a4a30f23f (sealed invite with the group key); one group message; received B's group reply	group topic /pilot/1/group-ba300f2a4a30f23f/proto; artifact testnet-agent-messaging (run.log, agent-a-inbox.json)	getAccount(8QZD…): balance 150, nonce 1, registered; run.log "MESSAGING AGENT PASSED in 39m"
2026-09-05	messaging	33933531544	B	3dgj8qd8kWXqtDTnhVVxyShGJ8yZPdmJu8HbJejo4k86	04bdf7a9e677c0c8e033464bb23a3dcf3982eac49227fcfb210c1a9a2f856c1168d9410af04843e9341642ef3ff6a4fd7c65a5527ea2	acceptance run: funded itself; received the direct message "hello B, this is A (01:19:02)" and the invite; joined; received "group hello from A (01:19:14)"; replied	same topic; artifact testnet-agent-messaging (agent-b-inbox.json)	getAccount(3dgj…): balance 150, nonce 1, registered; agent-b-inbox.json (kinds direct, group_invite, group)
2026-09-05	blockchain	33933531544	-	2LgHcPFWxXJJWPw8RecLJiEfetDCEyoiEzz6TamQoXWQ	-	acceptance run (./demo.sh via agents/deploy-agent.sh --role blockchain): created its identity, funded itself from the faucet (150), spent 1 LEZ through the spending FSM over the public rail, vault round-trip	tx 524ab303a27de60319207b309a6b8af437a22f8f321fb161a7a07236d64f0e53 in block 38085 (also a row in testnet-transactions.tsv); artifact testnet-agent-blockchain (run.log, demo-daemon.log)	getAccount(2LgH…): balance 149, nonce 2, registered; getTransaction(524ab303…) at block 38085; run.log "DEMO PASSED in 26m"
2026-09-05	alerter	33939827003	A	38ASsGuszNKmb3WQtuoN6UH4DbPtodsNFFT6Ha4rZMhP	047207d5b0eced8ff3ef3757871f1c0caea06bf89a130571dd1ee7efc26bdfbbe14af30d516e2a04b24c5ada6640a1327beb31b83777400da4d314257fdfd4abbc	use case "on-chain event alerter", the watcher: funded itself; read B's public account through the wallet module (chainAccount: balance 150, nonce 1); polled until it changed; sent B the alert "ALERT: account Eozv… balance 150 -> 149 (nonce 1 -> 2); tx 772889d0… in block 38221" over Logos Messaging	artifact testnet-usecase-alerter (run.log with the EVIDENCE lines, agent-a-daemon.log)	getAccount(38AS…): balance 150, nonce 1, registered; run.log "ALERTER USE CASE PASSED in 36m"
